chrom	classifiedWinStart	classifiedWinEnd	bigWinRange	pi_win0	thetaW_win0	tajD_win0	distVar_win0	distSkew_win0	distKurt_win0	nDiplos_win0	diplo_H1_win0	diplo_H12_win0	diplo_H2/H1_win0	diplo_ZnS_win0	diplo_Omega_win0
1	1997001	1999000	1998001-2000000	0.0002655096392417314	0.0007665975482391893	-1.486007402576587	3.7853417348067827e-07	1.7173154770497736	2.9241640572418746	8	0.41620000000000007	0.5774	0.07640557424315234	-0.056051474	86.63739026607544
1	1999001	2001000	2000001-2002000	0.0004955457970533347	0.0005113208204638437	-0.06265274899005938	2.129594593345473e-07	0.19751504012482518	-0.3482482018653492	19	0.1236	0.20720000000000005	0.6084142394822006	-0.060926966	0.4082481500446485
1	2001001	2003000	2002001-2004000	0.0005353517587939699	0.0008513491660722998	-0.8660341069228893	3.504091327500097e-07	0.5641706288695807	-0.10504556585957836	22	0.15199999999999997	0.267	0.5888157894736844	-0.0061767465	3.4495136941414604
1	2003001	2005000	2004001-2006000	0.00018366834170854273	0.0003405396664289199	-0.8195131446045333	9.67413067837396e-08	0.4914829088012707	-0.5424271138951804	7	0.4566	0.779	0.1581252737625931	-0.039463002	0.0
1	2005001	2007000	2006001-2008000	0.0005411131773036438	0.000511576864940791	0.11724895264216056	2.2969718989824648e-07	0.22256529497048078	-0.3600016082242159	13	0.1174	0.1718	0.7538330494037478	0.04101274	1.6418119651470382
1	2007001	2009000	2008001-2010000	0.0004303015075376885	0.0003405396664289199	0.46892578234844223	2.3174986886443748e-07	0.4215500338416531	-0.6453413710653235	12	0.22620000000000004	0.4086	0.3616268788682581	0.012321885	0.0
1	2009001	2011000	2010001-2012000	0.000619857667527231	0.00034071002143963976	1.45756901765914	2.071634807962244e-07	-0.29952506970420684	-0.6033725073491825	16	0.1464	0.24239999999999995	0.3852459016393443	0.0064261556	0.0
1	2011001	2013000	2012001-2014000	0.0003473366834170854	0.0005108094996433798	-0.6499054441015646	2.9425595620786563e-07	0.6088019171081679	-0.15846359347581762	11	0.3122000000000001	0.45780000000000004	0.13388853299167197	0.029757958	17.84267560826613
1	2013001	2015000	2014001-2016000	0.00041247277428181953	0.0004261006837198698	-0.061338591041344974	1.473696668183942e-07	0.132954891452825	-0.4555690953559002	10	0.2018	0.32780000000000004	0.39296333002973244	0.01861942	0.0
1	2015001	2017000	2016001-2018000	0.0003907368590574304	0.000511576864940791	-0.4796930623240501	2.3614610386377016e-07	0.6971614474948999	0.2845142226466577	16	0.25360000000000005	0.49839999999999995	0.4889589905362776	0.072225854	0.2982172562528737
1	2017001	2019000	2018001-2020000	0.0004345640156761798	0.00034071002143963976	0.49005849090991604	1.6413151783994084e-07	0.04839989778041387	-0.7391524971383752	10	0.22820000000000001	0.39460000000000006	0.551270815074496	-0.11295498	0.0
1	2019001	2021000	2020001-2022000	0.0005002501250625312	0.0002555325160797298	1.534586960196965	1.5689319086656487e-07	-0.047228721702237825	-0.4933402169939445	14	0.13440000000000002	0.21260000000000004	0.6063988095238094	-0.16484009	0.0
