chrom	classifiedWinStart	classifiedWinEnd	bigWinRange	pi_win0	thetaW_win0	tajD_win0	distVar_win0	distSkew_win0	distKurt_win0	nDiplos_win0	diplo_H1_win0	diplo_H12_win0	diplo_H2/H1_win0	diplo_ZnS_win0	diplo_Omega_win0
1	29001	31000	30001-32000	6.265059028878125e-05	0.00017044027348794792	nan	3.0408883391993795e-08	2.269214681989741	3.665081048391256	4	0.8676	0.9606000000000001	0.0031120331950207475	-0.031060163	0.0
1	31001	33000	32001-34000	0.00018011320393340828	0.00017078217975372112	nan	6.093339451508042e-08	0.6460551117177765	-1.2957149199656528	4	0.6372	0.9605999999999999	0.06952291274325172	-0.052991644	0.0
1	33001	35000	34001-36000	0.00016324105497427012	0.00034122211065022034	-0.9279331276590524	1.1158772280378288e-07	1.9263788810469267	2.60070741859509	4	0.7797999999999999	0.8678000000000001	0.006924852526288794	0.13273597	0.0
1	37001	39000	38001-40000	0.0002107481294246785	0.00017061105532511017	nan	6.90320747316593e-08	0.5771841455437258	-1.0009442479913386	4	0.5861999999999999	0.9605999999999999	0.11566018423746165	0.16421965	0.0
1	39001	41000	40001-42000	1.9737968399109777e-05	8.530552766255509e-05	nan	9.547101111129581e-09	4.721899033230743	20.296330480025418	2	0.9607999999999999	1.0	0.0004163197335553706	0.0	0.0
1	43001	45000	44001-46000	4.788234048880309e-05	8.539108987686056e-05	nan	2.182296160541042e-08	2.7435739251887488	5.527197882975596	2	0.9049999999999999	1.0	0.00276243093922652	0.0	0.0
1	47001	49000	48001-50000	1.972808458919535e-05	8.526281082346517e-05	nan	9.537542061805283e-09	4.721899033230743	20.29633048002542	2	0.9607999999999999	1.0	0.0004163197335553706	0.0	0.0
1	49001	51000	50001-52000	0.00013324006109667011	0.00017052562164693034	nan	5.472891805873872e-08	1.2535837003407444	0.2212620314280178	4	0.7342	0.9042	0.015935712339961865	-0.07086511	0.0
1	51001	53000	52001-54000	0.0002635925116564788	0.00017061105532511017	nan	7.667365731462847e-08	0.32062569746329167	-0.9409361395550953	4	0.4854	0.9605999999999999	0.3992583436341162	-0.0762129	0.0
1	53001	55000	54001-56000	2.9677919125155306e-05	0.00017044027348794792	nan	1.4244437042215175e-08	3.809757194746112	13.000688537894021	3	0.9413999999999999	0.9802	0.0005311238580837052	-0.014357683	0.0
1	55001	57000	56001-58000	0.00030488450275449467	0.00025617326963058164	0.30469671117178126	8.95784359337704e-08	0.35522724657464666	-0.6803043002642086	5	0.43639999999999995	0.8675999999999999	0.4498166819431715	-0.11711317	0.0
1	57001	59000	58001-60000	3.951553151918066e-05	0.00017078217975372112	nan	1.875027834475923e-08	3.235233809481035	9.024796710413755	3	0.9224	0.9607999999999999	0.0008673026886383349	-0.020408163	0.0
1	59001	61000	60001-62000	9.473143047232148e-05	8.539108987686056e-05	nan	4.02187133943764e-08	1.5015791803479739	0.25474003485449304	3	0.8022	0.9802	0.012590376464722016	0.0	0.0
1	63001	65000	64001-66000	5.7775104868357814e-05	0.00017052562164693034	nan	3.533725129534299e-08	3.4136115635820126	11.575837608214458	3	0.9042	0.9802	0.0018801150188011502	0.43808582	0.0
1	65001	67000	66001-68000	2.9290166405386973e-05	8.526281082346517e-05	nan	1.3877361989035748e-08	3.751368954616811	12.072769033662825	2	0.9418	1.0	0.0009556169038012317	0.0	0.0
1	67001	69000	68001-70000	2.4886096311966254e-05	0.00017086787076212742	nan	1.4360796105796825e-08	3.801746337682542	12.936728047416604	4	0.9411999999999999	0.9605999999999999	0.0003187420314492138	-0.013607016	0.0
1	69001	71000	70001-72000	0.00013847461088684767	0.00034173574152425483	-1.0581421145719856	5.545753035846241e-08	1.2787487171776768	0.3345833007153387	5	0.7351999999999999	0.9222	0.017274211099020678	-0.026617663	0.0
1	71001	73000	72001-74000	5.407226226178416e-05	0.0002555325160797298	-1.2633266555359226	2.7274696702543473e-08	2.5433464370235717	5.161511778178358	5	0.8847999999999999	0.9411999999999999	0.00135623869801085	-0.0183639	0.0
1	73001	75000	74001-76000	0.00026408960173929236	0.00017052562164693034	nan	7.081138576317284e-08	0.17973512503236383	-1.2397261543313767	4	0.4822	0.9413999999999999	0.3496474491912069	-0.12094718	0.0
1	75001	77000	76001-78000	5.010020040080161e-06	8.530552766255509e-05	nan	4.920653028511831e-09	6.857142857142863	45.02040816326534	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	79001	81000	80001-82000	4.432896679989718e-05	0.00017078217975372112	nan	2.3005716074702843e-08	2.8200646458198606	6.503997367932007	4	0.9034	0.9413999999999999	0.0009962364401151207	-0.024147265	0.0
1	81001	83000	82001-84000	0.00010354728072007509	0.00017052562164693034	nan	4.383901365249761e-08	1.458460143106218	0.40564171793246784	3	0.7866	0.9802	0.015509788965166539	-0.03533326	0.0
1	83001	85000	84001-86000	0.0002900856515391811	0.00034173574152425483	-0.2688813904717164	9.797574689213422e-08	0.4739240008377249	-0.6044647178365112	7	0.4532	0.8131999999999998	0.20564872021182698	-0.060776476	0.0
1	85001	87000	86001-88000	0.00015852925116317693	0.00017052562164693034	nan	5.623361961323376e-08	0.8831610247038192	-0.9450181098257437	3	0.6886000000000001	0.9802	0.04719721173395294	-0.04708816	0.0
1	87001	89000	88001-90000	5.6853979022494624e-05	8.539108987686056e-05	nan	2.5396552738676944e-08	2.430058994335957	3.905186715953082	2	0.8872	1.0	0.0040577096483318306	0.0	0.0
1	89001	91000	90001-92000	1.993937623991702e-05	0.00017061105532511017	nan	1.9682612114047325e-08	6.85714285714286	45.02040816326533	2	0.9802	1.0	0.00010201999591920018	1.0	0.0
1	91001	93000	92001-94000	7.746439907243927e-05	0.00025566041023192184	-1.1168811234487148	4.3743850413949716e-08	2.774980917773377	7.525395421057246	4	0.8670000000000001	0.9414000000000001	0.0024221453287197226	0.13031815	0.0
1	93001	95000	94001-96000	9.868802387060679e-05	8.539108987686056e-05	nan	3.9912563102074926e-08	1.5174706492722625	0.30271717140278165	2	0.8042	1.0	0.015046008455608056	0.0	0.0
1	95001	97000	96001-98000	3.4533570106169944e-05	0.00017069657465108767	nan	2.8276016840445105e-08	4.52419449584135	20.538909346098045	4	0.9411999999999999	0.9605999999999999	0.0003187420314492138	0.66254133	0.0
1	97001	99000	98001-100000	0.00010075465132990594	0.00017086787076212742	nan	4.158090025580881e-08	1.5758513938457372	0.7673412089030731	3	0.8022	0.9802	0.012590376464722016	-0.03350126	0.0
1	99001	101000	100001-102000	0.0002665632773083856	0.00017061105532511017	nan	7.378857586777826e-08	0.22474294139172235	-1.0706363497094533	4	0.4744000000000001	0.9224000000000002	0.33895446880269814	0.16618074	0.0
1	105001	107000	106001-108000	0.0002484883103549797	0.00017052562164693034	nan	7.243072812615165e-08	0.2702228455185721	-1.1372566977511422	4	0.4966	0.9605999999999999	0.3225936367297625	0.018584134	0.0
1	107001	109000	108001-110000	0.0004011046222101498	0.0005113208204638437	-0.4377393062521281	1.4590156515831995e-07	0.7725740890449793	0.46326797544889686	8	0.36639999999999995	0.7272	0.47161572052401746	-0.004043609	0.19742859786798075
1	109001	111000	110001-112000	9.642604610433238e-05	0.0002557884324703955	-0.9983374849884561	4.208378098831969e-08	1.8042485791919982	1.9879174081431632	4	0.8142	0.9042000000000001	0.005158437730287399	-0.030133897	0.0
1	111001	113000	112001-114000	0.00013116685632571677	0.00025591658298766527	-0.781112573022716	5.692957917458619e-08	1.2903001168312394	0.43733383084159927	5	0.7315999999999998	0.8675999999999999	0.012438490978676879	-0.041756358	0.0
1	113001	115000	114001-116000	4.418384507708885e-05	0.00017061105532511017	nan	2.2918927995154315e-08	2.8242192305559723	6.529351472752781	4	0.9036	0.9605999999999999	0.0012173528109783091	-0.023809774	0.0
1	115001	117000	116001-118000	8.626717169430738e-05	0.00025566041023192184	-1.061707887463222	4.1777110374861034e-08	1.792512389826881	1.9097655334262633	5	0.8142	0.9222	0.005158437730287398	-0.028361658	0.0
1	117001	119000	118001-120000	0.00025666640664514357	0.00017052562164693034	nan	6.685648258621303e-08	0.05466508462921836	-1.5369196875121782	4	0.4794	0.9413999999999999	0.36900292031706294	-0.088197194	0.0
1	119001	121000	120001-122000	9.96968811995851e-06	8.530552766255509e-05	nan	4.920653028511833e-09	6.857142857142858	45.020408163265294	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	121001	123000	122001-124000	1.9929391574799385e-05	0.00017052562164693034	nan	9.732144834206447e-09	4.7739505520484204	21.316424278999385	3	0.9605999999999999	0.9802	0.0002082032063293775	-0.01010101	0.0
1	123001	125000	124001-126000	1.4886462387123588e-05	8.534828732554383e-05	nan	9.603412587161695e-09	4.7083278411913145	20.168351060137276	3	0.9605999999999999	0.9802	0.0002082032063293775	0.0	0.0
1	125001	127000	126001-128000	1.9718210672984544e-05	8.522013674397396e-05	nan	9.527997361815778e-09	4.721899033230744	20.296330480025418	2	0.9607999999999999	1.0	0.0004163197335553706	0.0	0.0
1	127001	129000	128001-130000	0.0004996381808692232	0.0002563018061431911	1.521345383560447	2.5771517534299316e-07	0.013610095125933606	-1.8477669831484735	4	0.48160000000000003	0.9224	0.30149501661129563	0.25636885	0.0
1	129001	131000	130001-132000	1.9747862117605572e-05	8.534828732554383e-05	nan	9.556674538566477e-09	4.721899033230742	20.296330480025418	2	0.9607999999999999	1.0	0.0004163197335553706	0.0	0.0
1	133001	135000	134001-136000	4.785833931562575e-05	8.534828732554383e-05	nan	2.180108943278739e-08	2.743573925188748	5.527197882975592	2	0.9049999999999999	1.0	0.00276243093922652	0.0	0.0
1	141001	143000	142001-144000	4.781040908095812e-05	8.526281082346517e-05	nan	2.1757443619041383e-08	2.7435739251887483	5.527197882975594	2	0.9049999999999999	1.0	0.00276243093922652	0.0	0.0
1	143001	145000	144001-146000	6.760620143323132e-05	0.00017069657465108767	nan	3.0463412898827396e-08	2.2719884078516284	3.6788849608535568	3	0.8678	0.9608000000000001	0.0033417838211569494	-0.032773677	0.0
1	145001	147000	146001-148000	1.9737968399109777e-05	8.530552766255509e-05	nan	9.547101111129583e-09	4.7218990332307405	20.296330480025404	2	0.9607999999999999	1.0	0.0004163197335553706	0.0	0.0
1	147001	149000	148001-150000	2.9677919125155306e-05	0.00017044027348794792	nan	1.4244437042215175e-08	3.809757194746113	13.000688537894021	3	0.9413999999999999	0.9802	0.0005311238580837052	-0.014357683	0.0
1	149001	151000	150001-152000	6.784171610308313e-05	0.00025617326963058164	-1.1780445964840611	3.066965785876449e-08	2.279791555150111	3.7562520639779997	4	0.8676	0.9606000000000001	0.0031120331950207475	-0.018738436	0.0
1	151001	153000	152001-154000	4.795448866633519e-05	8.551975550701153e-05	nan	2.1888775978525577e-08	2.7435739251887488	5.527197882975598	2	0.9049999999999999	1.0	0.00276243093922652	0.0	0.0
1	153001	155000	154001-156000	1.9718210672984544e-05	8.522013674397396e-05	nan	9.527997361815778e-09	4.721899033230744	20.296330480025418	2	0.9607999999999999	1.0	0.0004163197335553706	0.0	0.0
1	155001	157000	156001-158000	9.964695787399693e-06	8.526281082346517e-05	nan	4.915726217277743e-09	6.8571428571428585	45.02040816326532	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	157001	159000	158001-160000	1.9787536376003575e-05	8.551975550701153e-05	nan	9.59511260752695e-09	4.721899033230743	20.29633048002542	2	0.9607999999999999	1.0	0.0004163197335553706	0.0	0.0
1	159001	161000	160001-162000	1.9949370914723996e-05	0.00017069657465108767	nan	9.751667687544376e-09	4.773950552048423	21.3164242789994	3	0.9605999999999999	0.9802	0.0002082032063293775	-0.01010101	0.0
1	161001	163000	162001-164000	2.966307274240135e-05	0.00017035501071981988	nan	1.4230189044064588e-08	3.8097571947461124	13.000688537894021	3	0.9413999999999999	0.9802	0.0005311238580837052	-0.014357683	0.0
1	165001	167000	166001-168000	0.0005361141547335676	0.00034139314930217533	1.0147009512839016	2.6656200382728844e-07	0.0036499207147017323	-1.6686358340503895	5	0.44300000000000006	0.8670000000000001	0.3659142212189616	0.07771129	0.0
1	167001	169000	168001-170000	0.00032196625698774996	0.000256430471708524	0.4095258595442173	1.1217395942215704e-07	0.45185342746128193	-0.7359369742288977	6	0.4284	0.8312	0.34430438842203553	0.11534385	0.0
1	169001	171000	170001-172000	0.00010850446524057442	0.00017052562164693034	nan	4.383901365249762e-08	1.4584601431062185	0.4056417179324683	3	0.7866	0.9802	0.015509788965166539	-0.03533326	0.0
1	171001	173000	172001-174000	0.00010613628704080965	0.00025566041023192184	-0.9371740119531099	8.23097414895877e-08	2.578554071765582	5.260161032373233	4	0.8670000000000001	0.9414000000000001	0.0024221453287197226	0.27594075	0.0
1	175001	177000	176001-178000	4.404864261094736e-05	0.00017086787076212742	nan	2.2702773268121138e-08	2.7899740016831944	6.168394563456053	4	0.9036	0.9605999999999999	0.0012173528109783091	-0.019890778	0.0
1	177001	179000	178001-180000	3.943642134596909e-05	0.00017044027348794792	nan	1.8675277306531535e-08	3.2352338094810333	9.02479671041375	3	0.9224	0.9607999999999999	0.0008673026886383349	-0.020408163	0.0
1	181001	183000	182001-184000	0.00033310339271507835	0.00042652763831277547	-0.42007729595247806	1.0325538258212385e-07	0.4553333759409209	-0.29417555020454866	8	0.40480000000000005	0.7948000000000001	0.38241106719367585	-0.024365243	0.0
1	183001	185000	184001-186000	1.9718210672984544e-05	8.522013674397396e-05	nan	9.527997361815778e-09	4.721899033230743	20.296330480025418	2	0.9607999999999999	1.0	0.0004163197335553706	0.0	0.0
1	185001	187000	186001-188000	6.123348572436115e-05	8.534828732554383e-05	nan	3.234278090948965e-08	1.9416652196901498	1.7700638253543994	3	0.8498	0.9418000000000002	0.004000941397975994	0.0	0.0
1	187001	189000	188001-190000	3.9677344639026796e-05	0.00025591658298766527	-1.3539684003692323	2.8840199565529723e-08	4.595615659989502	21.557635312480006	3	0.9413999999999999	0.9802	0.0005311238580837052	0.32376155	0.0
1	189001	191000	190001-192000	6.328029314072872e-05	0.00017078217975372112	nan	3.091913646717918e-08	2.2817888225584855	3.802935864780986	4	0.8670000000000001	0.9414000000000001	0.0024221453287197226	-0.03450328	0.0
1	191001	193000	192001-194000	0.0003256513026052103	0.0005118331659753305	-0.7387075611204674	1.1898629992942218e-07	0.9573570471386549	1.3525040411739004	8	0.42760000000000004	0.8475999999999998	0.41534144059869027	0.027712604	0.04940906009265955
1	193001	195000	194001-196000	9.954726106771978e-06	8.517750535990994e-05	nan	4.905894767303513e-09	6.857142857142857	45.02040816326531	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	197001	199000	198001-200000	0.00025123111803383464	8.526281082346517e-05	nan	6.255806641526085e-08	-0.09546209328821648	-1.9908869887450322	3	0.4814	0.9607999999999999	0.4597008724553386	0.0	0.0
1	201001	203000	202001-204000	0.0005308935874972663	0.0004258875267995497	0.4728639802668394	2.2958025385025327e-07	0.07492950980622005	-1.4073599987984502	8	0.38300000000000006	0.7455999999999999	0.37310704960835495	-0.095420286	0.0
1	203001	205000	204001-206000	0.0003229897606446684	0.0002563018061431911	0.41693483694798333	1.0528543880828498e-07	0.5398053706900124	-0.24672858494893557	6	0.4328000000000001	0.8136000000000003	0.27541589648798526	0.02641957	0.0
1	209001	211000	210001-212000	1.9737968399109777e-05	8.530552766255509e-05	nan	9.547101111129581e-09	4.721899033230742	20.296330480025418	2	0.9607999999999999	1.0	0.0004163197335553706	0.0	0.0
1	211001	213000	212001-214000	0.00024603700892823375	0.00017086787076212742	nan	7.298414030010308e-08	0.3339756747579114	-1.1005511562078278	3	0.5122	0.9802	0.29714955095665757	0.021700969	0.0
1	215001	217000	216001-218000	3.965747616399474e-05	0.0002557884324703955	-1.3539684003692323	1.8880563237501185e-08	3.2522977544343763	9.25438929851591	4	0.9221999999999999	0.9605999999999999	0.0006506180871828238	-0.012938793	0.0
1	217001	219000	218001-220000	3.397870232041086e-05	8.522013674397396e-05	nan	1.8057092104265164e-08	3.1425324656545337	7.875510297692765	3	0.9226	0.9802	0.0010838933448948623	0.0	0.0
1	219001	221000	220001-222000	0.00014388072627667393	0.00025591658298766527	-0.7015054753865052	5.917210038002609e-08	1.2202468066431087	0.2696080458694947	5	0.7173999999999999	0.8854	0.01644828547532758	-0.043513384	0.0
1	221001	223000	222001-224000	5.005005005005005e-06	8.522013674397396e-05	nan	4.910806801806712e-09	6.857142857142854	45.02040816326529	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	223001	225000	224001-226000	6.231055074974069e-05	0.00017061105532511017	nan	2.991615727877865e-08	2.224929901978181	3.279268340926569	4	0.8676	0.9606000000000001	0.0031120331950207475	-0.024851477	0.0
1	225001	227000	226001-228000	5.332734923992769e-05	0.00017086787076212742	nan	2.6478635034695695e-08	2.4752122012117375	4.479267026348221	4	0.8854	0.9605999999999999	0.002032979444318952	-0.02248027	0.0
1	227001	229000	228001-230000	4.866437450409945e-05	0.00017069657465108767	nan	2.2534785514487535e-08	2.802249510329695	6.24115348194319	3	0.9042	0.9802	0.0018801150188011502	-0.020515248	0.0
1	229001	231000	230001-232000	3.397870232041086e-05	8.522013674397396e-05	nan	1.8057092104265164e-08	3.1425324656545337	7.875510297692765	3	0.9226	0.9802	0.0010838933448948623	0.0	0.0
1	231001	233000	232001-234000	0.0006351305399176332	0.0005974380112788069	0.13405818564885388	3.0560037686147033e-07	0.1618014135371079	-1.2177643507538334	10	0.34180000000000005	0.6172000000000001	0.23902867173785838	-0.05076027	0.26206555481420385
1	235001	237000	236001-238000	0.00022091922538544425	8.530552766255509e-05	nan	6.221194834173766e-08	0.1883038570784162	-1.9645416574093912	3	0.5514000000000001	0.9802	0.18589046064562928	0.0	0.0
1	237001	239000	238001-240000	9.883672506177295e-05	8.551975550701153e-05	nan	4.003293266361651e-08	1.5174706492722623	0.3027171714027812	2	0.8042	1.0	0.015046008455608056	0.0	0.0
1	239001	241000	240001-242000	1.9959375614280025e-05	0.00017078217975372112	nan	9.761451150874594e-09	4.773950552048422	21.316424278999396	3	0.9605999999999999	0.9802	0.0002082032063293775	-0.01010101	0.0
1	243001	245000	244001-246000	0.0001445856537194993	0.00017061105532511017	nan	5.576435791433479e-08	1.0455594933124208	-0.45717295533688507	4	0.7089999999999999	0.9413999999999999	0.02834978843441468	-0.059432846	0.0
1	247001	249000	248001-250000	1.0015022533800702e-05	0.00017052562164693034	nan	1.9662904869110968e-08	6.857142857142863	45.020408163265344	2	0.9802	1.0	0.00010201999591920018	1.0	0.0
