chrom	classifiedWinStart	classifiedWinEnd	bigWinRange	pi_win0	thetaW_win0	tajD_win0	distVar_win0	distSkew_win0	distKurt_win0	nDiplos_win0	diplo_H1_win0	diplo_H12_win0	diplo_H2/H1_win0	diplo_ZnS_win0	diplo_Omega_win0
1	25001	27000	26001-28000	1.9969390353675048e-05	0.00017086787076212742	nan	9.771249344637692e-09	4.773950552048422	21.316424278999406	3	0.9605999999999999	0.9802	0.0002082032063293775	-0.01010101	0.0
1	31001	33000	32001-34000	2.4924421909346534e-05	0.00025566041023192184	-1.4461865233735558	1.4434795750765187e-08	3.8363310607488894	13.418455368682292	4	0.9411999999999999	0.9605999999999999	0.0003187420314492138	-0.01010101	0.0
1	33001	35000	34001-36000	5.35694983169977e-05	0.0002555325160797298	-1.266479411877951	2.6879312939186362e-08	2.5284954618447024	4.984952468589033	4	0.8854	0.9605999999999999	0.002032979444318952	-0.017043835	0.0
1	35001	37000	36001-38000	2.990906435987553e-05	0.00025591658298766527	-1.4151318734045784	2.4404450878780916e-08	5.474605131864116	29.911590049885	3	0.9605999999999999	0.9802	0.0002082032063293775	0.32659933	0.0
1	37001	39000	38001-40000	9.964695787399693e-06	8.526281082346517e-05	nan	4.915726217277743e-09	6.857142857142858	45.020408163265316	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	39001	41000	40001-42000	9.974685457361998e-06	8.534828732554383e-05	nan	4.925587250341292e-09	6.857142857142858	45.02040816326534	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	41001	43000	42001-44000	3.9938780707350096e-05	0.00034173574152425483	-1.5711025186604357	1.9143672185412628e-08	3.268563556384147	9.472068929612659	5	0.9219999999999999	0.9411999999999999	0.00043383947939262476	-0.01010101	0.0
1	43001	45000	44001-46000	9.959708452170764e-06	8.522013674397396e-05	nan	4.910806801806713e-09	6.857142857142854	45.02040816326528	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	45001	47000	46001-48000	9.959708452170764e-06	8.522013674397396e-05	nan	4.910806801806713e-09	6.857142857142854	45.02040816326528	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	47001	49000	48001-50000	1.9959375614280025e-05	0.00017078217975372112	nan	9.761451150874593e-09	4.773950552048423	21.316424278999396	3	0.9605999999999999	0.9802	0.0002082032063293775	-0.01010101	0.0
1	51001	53000	52001-54000	4.906739209833629e-05	0.00017069657465108767	nan	2.2901141251994935e-08	2.8283859656868175	6.554819677288657	3	0.9037999999999999	0.9607999999999999	0.0014383713210887365	-0.025123302	0.0
1	53001	55000	54001-56000	9.984695176837524e-06	8.543393538106371e-05	nan	4.935477985301693e-09	6.857142857142855	45.020408163265294	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	55001	57000	56001-58000	2.9677919125155306e-05	0.00017044027348794792	nan	1.4244437042215175e-08	3.809757194746112	13.000688537894021	3	0.9413999999999999	0.9802	0.0005311238580837052	-0.014357683	0.0
1	57001	59000	58001-60000	1.9708346635629375e-05	8.517750535990994e-05	nan	9.518466982455216e-09	4.721899033230743	20.29633048002542	2	0.9607999999999999	1.0	0.0004163197335553706	0.0	0.0
1	59001	61000	60001-62000	1.9708346635629375e-05	8.517750535990994e-05	nan	9.518466982455218e-09	4.721899033230742	20.296330480025414	2	0.9607999999999999	1.0	0.0004163197335553706	0.0	0.0
1	61001	63000	62001-64000	9.979687807140013e-06	8.539108987686056e-05	nan	4.930528897635636e-09	6.857142857142858	45.0204081632653	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	65001	67000	66001-68000	1.9919416904341528e-05	0.00017044027348794792	nan	9.722405385395105e-09	4.773950552048425	21.316424278999413	3	0.9605999999999999	0.9802	0.0002082032063293775	-0.01010101	0.0
1	71001	73000	72001-74000	3.943642134596909e-05	0.00017044027348794792	nan	1.867527730653153e-08	3.2352338094810342	9.024796710413755	3	0.9224	0.9607999999999999	0.0008673026886383349	-0.020408163	0.0
1	79001	81000	80001-82000	2.93048408374538e-05	8.530552766255509e-05	nan	1.3891270644629055e-08	3.75136895461681	12.072769033662816	2	0.9418	1.0	0.0009556169038012317	0.0	0.0
1	81001	83000	82001-84000	5.858033281077395e-05	0.0002557884324703955	-1.2354247619089733	2.6933179284274846e-08	2.5284954618447015	4.984952468589032	4	0.8854	0.9605999999999999	0.002032979444318952	-0.017043835	0.0
1	83001	85000	84001-86000	2.9707656519068285e-05	0.00017061105532511017	nan	1.4272997309817817e-08	3.809757194746111	13.000688537894018	3	0.9413999999999999	0.9802	0.0005311238580837052	-0.014357683	0.0
1	85001	87000	86001-88000	2.9722547574967568e-05	0.00017069657465108767	nan	1.4287309665208421e-08	3.8097571947461106	13.000688537894014	3	0.9413999999999999	0.9802	0.0005311238580837052	-0.014357683	0.0
1	87001	89000	88001-90000	9.96968811995851e-06	8.530552766255509e-05	nan	4.920653028511832e-09	6.857142857142859	45.020408163265316	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	89001	91000	90001-92000	1.9737968399109777e-05	8.530552766255509e-05	nan	9.547101111129583e-09	4.721899033230741	20.296330480025407	2	0.9607999999999999	1.0	0.0004163197335553706	0.0	0.0
1	91001	93000	92001-94000	4.909199961694127e-05	0.00017078217975372112	nan	2.292411706319338e-08	2.828385965686817	6.554819677288654	3	0.9037999999999999	0.9607999999999999	0.0014383713210887365	-0.025123302	0.0
1	95001	97000	96001-98000	5.91013270063312e-05	0.0002563018061431911	-1.2329025568353509	2.740035095611508e-08	2.5467266897274476	5.180593631616647	4	0.8849999999999999	0.9413999999999999	0.0015819209039548024	-0.019051963	0.0
1	97001	99000	98001-100000	9.979687807140013e-06	8.539108987686056e-05	nan	4.930528897635637e-09	6.857142857142852	45.020408163265266	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	99001	101000	100001-102000	1.972808458919535e-05	8.526281082346517e-05	nan	9.537542061805283e-09	4.721899033230742	20.29633048002542	2	0.9607999999999999	1.0	0.0004163197335553706	0.0	0.0
1	101001	103000	102001-104000	3.459963815069337e-05	0.00017052562164693034	nan	1.873661737234878e-08	3.229710157925806	8.98660753324289	4	0.9221999999999999	0.9605999999999999	0.0006506180871828238	-0.019341156	0.0
1	103001	105000	104001-106000	1.993937623991702e-05	0.00017061105532511017	nan	9.74189892513454e-09	4.773950552048421	21.316424278999392	3	0.9605999999999999	0.9802	0.0002082032063293775	-0.01010101	0.0
1	109001	111000	110001-112000	2.9692780376595043e-05	0.00017052562164693034	nan	1.4258706449827758e-08	3.8097571947461093	13.000688537894007	3	0.9413999999999999	0.9802	0.0005311238580837052	-0.014357683	0.0
1	111001	113000	112001-114000	5.674015724266981e-05	8.522013674397396e-05	nan	2.5294966629511917e-08	2.4300589943359574	3.905186715953083	2	0.8872	1.0	0.0040577096483318306	0.0	0.0
1	113001	115000	114001-116000	4.781040908095812e-05	8.526281082346517e-05	nan	2.1757443619041383e-08	2.7435739251887483	5.527197882975594	2	0.9049999999999999	1.0	0.00276243093922652	0.0	0.0
1	115001	117000	116001-118000	8.880914099081162e-05	0.0004269554493843028	-1.518933909575819	3.995445086842603e-08	1.9765649120717006	2.7636309521394775	6	0.8300000000000001	0.8846000000000002	0.0022891566265060242	-0.017353632	0.0
1	117001	119000	118001-120000	1.9949370914723996e-05	0.00017069657465108767	nan	9.751667687544374e-09	4.773950552048425	21.316424278999413	3	0.9605999999999999	0.9802	0.0002082032063293775	-0.01010101	0.0
1	119001	121000	120001-122000	3.929421543809272e-05	0.00017069657465108767	nan	1.8544451539393296e-08	3.2173371900925725	8.78268944552897	3	0.9226	0.9802	0.0010838933448948623	-0.017674908	0.0
1	123001	125000	124001-126000	2.9707656519068285e-05	0.00017061105532511017	nan	1.4272997309817817e-08	3.8097571947461106	13.000688537894018	3	0.9413999999999999	0.9802	0.0005311238580837052	-0.014357683	0.0
1	125001	127000	126001-128000	0.00014295702737913794	0.00034088054697589584	-1.0329403751694823	5.866812245719834e-08	1.325952124695859	0.6193508005532498	5	0.7303999999999998	0.8493999999999998	0.010815991237677989	-0.033315927	0.0
1	127001	129000	128001-130000	3.959798994974874e-05	0.0002554047498216899	-1.3539684003692323	1.8823964029055972e-08	3.252297754434377	9.254389298515912	4	0.9221999999999999	0.9605999999999999	0.0006506180871828238	-0.012938793	0.0
1	131001	133000	132001-134000	0.00010392988009253893	0.00025617326963058164	-0.952307242394845	4.4124747606617245e-08	1.649271813509165	1.333736652051848	4	0.7989999999999999	0.9413999999999999	0.008635794743429289	-0.028706968	0.0
1	133001	135000	134001-136000	3.476993598196704e-05	0.0002563018061431911	-1.3850230503382095	1.8956426800430675e-08	3.2522977544343776	9.254389298515912	4	0.9221999999999999	0.9605999999999999	0.0006506180871828238	-0.012938793	0.0
1	137001	139000	138001-140000	9.984695176837524e-06	8.543393538106371e-05	nan	4.935477985301693e-09	6.857142857142855	45.0204081632653	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	139001	141000	140001-142000	3.969723303232957e-05	0.0002560448619766315	-1.3539684003692323	1.8918437978712158e-08	3.252297754434377	9.254389298515921	4	0.9221999999999999	0.9605999999999999	0.0006506180871828238	-0.012938793	0.0
1	141001	143000	142001-144000	8.646135031693267e-05	0.00017052562164693034	nan	3.7996969231098255e-08	1.9277685200073444	2.3549279773078853	3	0.8322	0.9232000000000002	0.004926700312424898	-0.046829294	0.0
1	143001	145000	144001-146000	5.9012497356522086e-05	0.00025591658298766527	-1.2329025568353509	2.7318047069812467e-08	2.546726689727447	5.180593631616643	4	0.8849999999999999	0.9413999999999999	0.0015819209039548024	-0.019051963	0.0
1	147001	149000	148001-150000	1.9909452213543957e-05	0.00017035501071981988	nan	9.712680549408972e-09	4.773950552048424	21.316424278999417	3	0.9605999999999999	0.9802	0.0002082032063293775	-0.01010101	0.0
1	149001	151000	150001-152000	6.46915621235566e-05	0.0005123465392611633	-1.7743659967244962	3.224710185982211e-08	2.3407817296623774	4.351502940785305	7	0.8658	0.903	0.0010395010395010396	-0.0115199	1.0
1	151001	153000	152001-154000	5.918425376758606e-05	0.0003410512432938607	-1.4702955610504231	2.7469329779665805e-08	2.5554004700301096	5.273149179143729	5	0.8847999999999999	0.9411999999999999	0.00135623869801085	-0.0138879595	0.0
1	153001	155000	154001-156000	2.9275506662441335e-05	8.522013674397396e-05	nan	1.3863474212083074e-08	3.7513689546168094	12.072769033662816	2	0.9418	1.0	0.0009556169038012317	0.0	0.0
1	155001	157000	156001-158000	9.797732380495442e-05	0.00034225092103409036	-1.269731718305502	4.336646572082243e-08	1.8260651171050142	2.1585061746851197	5	0.8130000000000001	0.8850000000000001	0.0036900369003690036	-0.023788273	0.0
1	159001	161000	160001-162000	1.9949370914723996e-05	0.00017069657465108767	nan	1.9702349001365168e-08	6.857142857142858	45.02040816326534	2	0.9802	1.0	0.00010201999591920018	1.0	0.0
1	163001	165000	164001-166000	1.9747862117605572e-05	8.534828732554383e-05	nan	9.556674538566477e-09	4.7218990332307405	20.296330480025418	2	0.9607999999999999	1.0	0.0004163197335553706	0.0	0.0
1	165001	167000	166001-168000	2.93048408374538e-05	8.530552766255509e-05	nan	1.3891270644629055e-08	3.75136895461681	12.072769033662816	2	0.9418	1.0	0.0009556169038012317	0.0	0.0
1	175001	177000	176001-178000	2.9924056372085992e-05	0.0002560448619766315	-1.4151318734045784	1.4478241311609258e-08	3.836331060748888	13.418455368682288	4	0.9411999999999999	0.9605999999999999	0.0003187420314492138	-0.01010101	0.0
1	177001	179000	178001-180000	1.9747862117605572e-05	8.534828732554383e-05	nan	9.556674538566477e-09	4.721899033230742	20.296330480025418	2	0.9607999999999999	1.0	0.0004163197335553706	0.0	0.0
1	179001	181000	180001-182000	3.929421543809272e-05	0.00017069657465108767	nan	1.8544451539393296e-08	3.2173371900925725	8.782689445528968	3	0.9226	0.9802	0.0010838933448948623	-0.017674908	0.0
1	181001	183000	182001-184000	1.9929391574799385e-05	0.00017052562164693034	nan	9.732144834206443e-09	4.773950552048423	21.316424278999403	3	0.9605999999999999	0.9802	0.0002082032063293775	-0.01010101	0.0
1	183001	185000	184001-186000	2.973745356673034e-05	0.00017078217975372112	nan	1.4301643559130543e-08	3.80975719474611	13.000688537894003	3	0.9413999999999999	0.9802	0.0005311238580837052	-0.014357683	0.0
1	189001	191000	190001-192000	9.984695176837524e-06	8.543393538106371e-05	nan	4.935477985301693e-09	6.857142857142855	45.020408163265294	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	191001	193000	192001-194000	9.964695787399693e-06	8.526281082346517e-05	nan	4.915726217277742e-09	6.857142857142862	45.02040816326535	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	193001	195000	194001-196000	9.974685457361998e-06	8.534828732554383e-05	nan	4.925587250341292e-09	6.85714285714286	45.020408163265344	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	195001	197000	196001-198000	9.974685457361998e-06	8.534828732554383e-05	nan	4.925587250341293e-09	6.8571428571428585	45.020408163265316	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	197001	199000	198001-200000	8.562632530439453e-05	0.0002563018061431911	-1.0670675732446697	3.73077591429935e-08	1.9011192037969329	2.1270174535805264	4	0.8332	0.9605999999999999	0.0061209793566970715	-0.021749252	0.0
1	199001	201000	200001-202000	9.964695787399693e-06	8.526281082346517e-05	nan	4.915726217277742e-09	6.857142857142861	45.02040816326532	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	201001	203000	202001-204000	2.9707656519068285e-05	0.00017061105532511017	nan	1.4272997309817814e-08	3.8097571947461124	13.000688537894025	3	0.9413999999999999	0.9802	0.0005311238580837052	-0.014357683	0.0
1	205001	207000	206001-208000	3.935339347339105e-05	0.0001709536478056827	nan	1.8600350381968082e-08	3.217337190092572	8.782689445528966	3	0.9226	0.9802	0.0010838933448948623	-0.017674908	0.0
1	207001	209000	208001-210000	9.954726106771978e-06	8.517750535990994e-05	nan	4.905894767303512e-09	6.857142857142856	45.02040816326531	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	209001	211000	210001-212000	3.9373159115517315e-05	0.00017103951101402306	nan	1.861903950450907e-08	3.217337190092572	8.782689445528966	3	0.9226	0.9802	0.0010838933448948623	-0.017674908	0.0
1	211001	213000	212001-214000	3.943642134596909e-05	0.00017044027348794792	nan	1.8675277306531535e-08	3.2352338094810333	9.024796710413751	3	0.9224	0.9607999999999999	0.0008673026886383349	-0.020408163	0.0
1	213001	215000	214001-216000	3.965747616399474e-05	0.0002557884324703955	-1.3539684003692323	1.8880563237501185e-08	3.2522977544343763	9.254389298515909	4	0.9221999999999999	0.9605999999999999	0.0006506180871828238	-0.012938793	0.0
1	215001	217000	216001-218000	9.96968811995851e-06	8.530552766255509e-05	nan	4.920653028511832e-09	6.857142857142858	45.020408163265316	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	217001	219000	218001-220000	2.931952998073072e-05	8.534828732554383e-05	nan	1.3905200220735415e-08	3.751368954616811	12.072769033662821	2	0.9418	1.0	0.0009556169038012317	0.0	0.0
1	219001	221000	220001-222000	9.979687807140013e-06	8.539108987686056e-05	nan	4.930528897635636e-09	6.857142857142858	45.02040816326529	2	0.9802	1.0	0.00010201999591920018	0.0	0.0
1	221001	223000	222001-224000	2.9752374516839086e-05	0.00017086787076212742	nan	1.4315999034823371e-08	3.809757194746111	13.000688537894021	3	0.9413999999999999	0.9802	0.0005311238580837052	-0.014357683	0.0
1	223001	225000	224001-226000	5.843755116434302e-05	0.00017069657465108767	nan	2.680796827258791e-08	2.518920916321287	4.881627709816936	3	0.8855999999999999	0.9607999999999999	0.0022583559168925025	-0.029160593	0.0
1	227001	229000	228001-230000	1.9969390353675048e-05	0.00017086787076212742	nan	9.771249344637692e-09	4.773950552048422	21.316424278999406	3	0.9605999999999999	0.9802	0.0002082032063293775	-0.01010101	0.0
1	229001	231000	230001-232000	0.0001048853289001398	0.0002560448619766315	-0.9460017297107887	4.4883388058567124e-08	1.6679721765784252	1.474334918795221	4	0.798	0.9226	0.007393483709273184	-0.031165538	0.0
